YEAR,TITLE,AUTHOR,ABSTRACT
2018,[INVITED] Computational intelligence for smart laser materials processing,"Casalino, G","Computational intelligence (CI) involves using a computer algorithm to capture hidden knowledge from data and to use them for training ""intelligent machine"" to make complex decisions without human intervention. As simulation is becoming more prevalent from design and planning to manufacturing and operations, laser material processing can also benefit from computer generating knowledge through soft computing. This work is a review of the state-of-the-art on the methodology and applications of CI in laser materials processing (LMP), which is nowadays receiving increasing interest from world class manufacturers and 4.0 industry. The focus is on the methods that have been proven effective and robust in solving several problems in welding, cutting, drilling, surface treating and additive manufacturing using the laser beam. After a basic description of the most common computational intelligences employed in manufacturing, four sections, namely, laser joining, machining, surface, and additive covered the most recent applications in the already extensive literature regarding the CI in LMP. Eventually, emerging trends and future challenges were identified and discussed. (C) 2017 Elsevier Ltd. All rights reserved."
2018,<< INDUSTRY 4.0 >> AS A MECHANISM FOR FORMING << SMART PRODUCTION >>,"Sergeyeva, OY","<< Smart production >> is a new model of industrial development of the 21st century on the basis of digital technologies, which already to some extent operates in the form of a production system that creates products and services on non markets, contributing to the improvement of a comfortable life of the person, the population. Active development in the 21st century of information technologies and concepts contributed to the creation and development of cyberphysical systems that integrate computing resources into physical processes. Digitalisation and its transformation in manufacturing brings new features and high technology sectors, such as construction, oil service, energy, space, health, etc. Index of Russian digitization of international research for 2016 amounted to 113 points. Little use of the potential of digital transformation of industries has become the main problem of the country. The state concept of social and economic development of the Russian Federation involves the development of competitive industry in Russia and effective technology platforms, improving the efficiency and competitiveness of the Russian economy through the development of high-tech industry on the basis of the basic concept of << industry 4.0 >> through its digitalization and restructuring, using innovative tools and mechanisms. The use of artificial intelligence systems in production processes will radically change the production, the basic basis of which will be additive 3D technologies. Additive technologies are a process of layer-by-layer expansion and synthesis of the object using computer 3D-technologies. In modern production it is a set of different processes, including UV-irradiation, extrusion, jet spraying, fusion, lamination. Modern production technologies contribute to the development of new markets and are the driving force of the digital revolution."
2018,2016 New Horizons Lecture: Beyond Imaging-Radiology of Tomorrow,"Hricak, H","This article is based on the New Horizons lecture delivered at the 2016 Radiological Society of North America Annual Meeting. It addresses looming changes for radiology, many of which stem from the disruptive effects of the Fourth Industrial Revolution. This is an emerging era of unprecedented rapid innovation marked by the integration of diverse disciplines and technologies, including data science, machine learning, and artificial intelligence-technologies that narrow the gap between man and machine. Technologic advances and the convergence of life sciences, physical sciences, and bioengineering are creating extraordinary opportunities in diagnostic radiology, image-guided therapy, targeted radionuclide therapy, and radiology informatics, including radiologic image analysis. This article uses the example of oncology to make the case that, if members in the field of radiology continue to be innovative and continuously reinvent themselves, radiology can play an ever-increasing role in both precision medicine and value-driven health care. (C) RSNA, 2018"
2018,5G-Smart Diabetes: Toward Personalized Diabetes Diagnosis with Healthcare Big Data Clouds,"Chen, M; Yang, J; Zhou, JH; Hao, YX; Zhang, J; Youn, CH","Recent advances in wireless networking and big data technologies, such as 5G networks, medical big data analytics, and the Internet of Things, along with recent developments in wearable computing and artificial intelligence, are enabling the development and implementation of innovative diabetes monitoring systems and applications. Due to the life-long and systematic harm suffered by diabetes patients, it is critical to design effective methods for the diagnosis and treatment of diabetes. Based on our comprehensive investigation, this article classifies those methods into Diabetes 1.0 and Diabetes 2.0, which exhibit deficiencies in terms of networking and intelligence. Thus, our goal is to design a sustainable, cost-effective, and intelligent diabetes diagnosis solution with personalized treatment. In this article, we first propose the 5G-Smart Diabetes system, which combines the state-of-the-art technologies such as wearable 2.0, machine learning, and big data to generate comprehensive sensing and analysis for patients suffering from diabetes. Then we present the data sharing mechanism and personalized data analysis model for 5G-Smart Diabetes. Finally, we build a 5G-Smart Diabetes testbed that includes smart clothing, smartphone, and big data clouds. The experimental results show that our system can effectively provide personalized diagnosis and treatment suggestions to patients."
2018,A 0.55 V 1.1 mW Artificial Intelligence Processor With On-Chip PVT Compensation for Autonomous Mobile Robots,"Kim, Y; Shin, D; Lee, J; Lee, Y; Yoo, HJ","Autonomous mobile robots are receiving a lot of attention for many applications, such as package delivery and smart surveillance, however, the battery capacity is limited to implement intelligent decision making in robots because of the heavy computational costs. In this paper, an ultra-low-power artificial intelligence processor (AIP) is proposed for real-time decision making of autonomous mobile robots. To achieve low power consumption while maintaining high performance, it adopts four key features: 1) an 8-thread tree search processor for real-time path planning; 2) a reinforcement learning accelerator for the avoidance of unexpected obstacles; 3) a 3-level transposition table cache for the reduction of duplicated computations; and 4) a PVT compensation circuit for the stable operation at near-threshold voltage. The proposed 16 mm(2) AIP is fabricated using 65-nm triple-well CMOS technology. It consumes only 1.1 mW at 0.55 V supply voltage and 7 MHz operating frequency, and 151 mW at 1.2 V supply voltage and 245 MHz operating frequency. The AIP achieves fast search speed (470 000 search/s) and low energy consumption (79 nJ/search), and it is successfully applied to a battery-powered robot system for autonomous navigation without any collision in dynamic indoor environments."
2018,A Benchmarking Framework for Control Methods of Maritime Cranes Based on the Functional Mockup Interface,"Sanfilippo, F; Hatledal, LI; Pettersen, KY; Zhang, HX","Abenchmark framework for advanced controlmethods of maritime cranes is presented based on the use of the functional mockup interface. The system integrates different manipulator models, all the corresponding hydraulic systems, various vessels, and the surrounding environment for visualization. Different control methods can be transparently implemented and tested. A set of routine tests, different cost functions, and metrics are provided-taking into account several factors, including position accuracy, energy consumption, quality, and safety for both the cranes and the surrounding environment. The concept of operational profiles is introduced, allowing for definition of different standard transporting and lifting operations. By considering task-oriented routines, this benchmark suite allows the comparison of different control methods independently from the specific crane model to be controlled. Two alternative control methods for maritime cranes based on the use of artificial intelligence are extensively compared. The first method is based on the use of genetic algorithms, while the second method involves the use of particle swarm optimization. Simulation results are presented for both methods."
2018,A bio-inspired tool for managing resilience in enterprise networks with embedded intelligent formulation,"Habib, SJ; Marimuthu, PN","The bio-organisms are resilient in nature, where resilience is viewed as a sign of intelligence for understanding and reacting to the unforeseen changes in order to retain their normal functionalities. The resilient behavior within the livings is developed through an evolutionary cycle. Here, we want to provide an enterprise network (EN) with a resilient behavior by embedding intelligent formulations to guide EN through uncertain workload, which is not considered during early design stage. We formulated the resilient management problem within EN as an optimization problem, with an objective function is to maximize the resilience. We developed a bio-inspired tool comprising of Genetic Algorithm (GA), Molecular Assembly (MA) and Ant Colony Optimization (ACO). Our experimental results on an EN of 100 nodes, with a heavy backbone traffic of 7.6 TB demonstrated that GA gains the maximum resilience of 50%, whereas MA gains 46%, ACO gains 31.54%, and the original EN had 20% resilience. However, with light workload, MA and GA performed closely with a maximum resilience of 64% and 62%, respectively, and ACO showed a moderate resilience with a maximum of 32%."
2018,A Brief Review of Facial Emotion Recognition Based on Visual Information,"Ko, BC",
2018,A characterization of types of support between structured arguments and their relationship with support in abstract argumentation,"Cohen, A; Parsons, S; Sklar, EI; McBurney, P","Argumentation is an important approach in artificial intelligence and multiagent systems, providing a basis for single agents to make rational decisions, and for groups of agents to reach agreements, as well as a mechanism to underpin a wide range of agent interactions. In such work, a crucial role is played by the notion of attack between arguments, and the notion of attack is well-studied. There is, for example, a range of different approaches to identifying which of a set of arguments should be accepted given the attacks between them. Less well studied is the notion of support between arguments, yet the idea that one argument may support another is very intuitive and seems particularly relevant in the area of decision-making where decision options may have multiple arguments for and against them. In the last decade, the study of support in argumentation has regained attention among researchers, but most approaches address support in the context of abstract argumentation where the elements from which arguments are composed are ignored. In contrast, this paper studies the notion of support between arguments in the context of structured argumentation systems where the elements from which arguments are composed play a crucial role. Different forms of support are presented, each of which takes into account the structure of arguments; and the relationships between these forms of support are studied. Then, the paper investigates whether there is a correspondence between the structured and abstract forms of support, and determines whether the abstract formalisms may be instantiated using concrete forms of support in terms of structured arguments. The conclusion is that support in structured argumentation does not mesh well with support in abstract argumentation, and this suggests that more work is required to develop forms of support in abstract argumentation that model what happens in structured argumentation. (C) 2018 Elsevier Inc. All rights reserved."
2018,A Closed Loop Inverse Kinematics Solver Intended for Offline Calculation Optimized with GA,"Bjoerlykhaug, ED","This paper presents a simple approach to building a robotic control system. Instead of a conventional control system which solves the inverse kinematics in real-time as the robot moves, an alternative approach where the inverse kinematics is calculated ahead of time is presented. This approach reduces the complexity and code necessary for the control system. Robot control systems are usually implemented in low level programming language. This new approach enables the use of high level programming for the complex inverse kinematics problem. For our approach, we implement a program to solve the inverse kinematics, called the Inverse Kinematics Solver (IKS), in Java, with a simple graphical user interface (GUI) to load a file with desired end effector poses and edit the configuration of the robot using the Denavit-Hartenberg (DH) convention. The program uses the closed-loop inverse kinematics (CLIK) algorithm to solve the inverse kinematics problem. As an example, the IKS was set up to solve the kinematics for a custom built serial link robot. The kinematics for the custom robot is presented, and an example of input and output files is also presented. Additionally, the gain of the loop in the IKS is optimized using a GA, resulting in almost a 50% decrease in computational time."
2017,A Combined System for Contactless Control of Robotic Systems by Verbal and Gesture Commands,"Nagapetyan, VE; Khachumov, VM","This article considers the task of building a universal integrated intelligent system and its interface for speech and gesture-activated control of robotic systems, including means of transport and aircraft. Several foreign publications are reviewed that present combined control systems and their results. The system is integrated with a knowledge base and a data base, makes use of artificial-intelligence elements, and bears on the generality of procedures of inputting, processing, and transferring different kinds of information."
